Data Year,Age,Pass %,Total
2018,40,25.0,4
2018,39,60.0,5
2018,38,41.1,73
2018,37,36.47,85
2018,36,38.74,111
2018,35,49.21,189
2018,34,38.13,278
2018,33,40.08,252
2018,32,36.84,380
2018,31,39.77,352
2018,30,38.12,467
2018,29,38.56,459
2018,28,38.72,971
2018,27,38.95,1086
2018,26,38.55,991
2018,25,39.59,1071
2018,24,36.06,1370
2018,23,35.77,1904
2018,22,36.79,3088
2018,21,37.48,5333
2018,20,32.98,8103
2018,19,34.3,14614
2018,18,33.51,29680
2018,17,34.14,31321
2018,16,33.22,48414
2018,15,33.54,70257
2018,14,35.75,100186
2018,13,38.56,134896
2018,12,42.36,155260
2018,11,45.18,163158
2018,10,44.76,114380
2018,9,48.76,46614
2018,8,57.2,115452
2018,7,60.55,29987
2018,6,71.15,101358
2018,5,73.87,25683
2018,4,80.87,118938
2018,3,84.08,14066
2018,2,76.4,1733
2018,1,82.28,965
2018,0,81.22,181
2019,90,0.0,1
2019,87,100.0,1
2019,71,0.0,1
2019,69,0.0,1
2019,68,0.0,1
2019,67,33.33,3
2019,65,50.0,2
2019,64,50.0,2
2019,62,33.33,3
2019,61,0.0,1
2019,59,100.0,2
2019,58,25.0,4
2019,57,66.67,3
2019,55,66.67,3
2019,54,0.0,3
2019,53,100.0,1
2019,51,33.33,3
2019,47,0.0,1
2019,46,0.0,2
2019,45,0.0,2
2019,44,100.0,1
2019,43,25.0,4
2019,42,0.0,1
2019,41,50.0,2
2019,40,50.0,2
2019,39,46.77,62
2019,38,39.47,76
2019,37,48.96,96
2019,36,34.87,152
2019,35,38.73,204
2019,34,33.61,244
2019,33,36.75,302
2019,32,33.94,330
2019,31,35.84,293
2019,30,38.56,695
2019,29,37.15,891
2019,28,35.59,1003
2019,27,36.73,931
2019,26,39.39,947
2019,25,33.71,1136
2019,24,36.1,1557
2019,23,35.17,2454
2019,22,36.53,4046
2019,21,33.55,5917
2019,20,33.03,10108
2019,19,32.76,20025
2019,18,33.33,20915
2019,17,31.66,32307
2019,16,30.96,49621
2019,15,32.8,75815
2019,14,35.49,109608
2019,13,39.95,135284
2019,12,43.73,162466
2019,11,43.27,177887
2019,10,43.94,62185
2019,9,50.22,53058
2019,8,58.7,118534
2019,7,60.69,34520
2019,6,71.02,108213
2019,5,73.63,31031
2019,4,80.3,152967
2019,3,83.27,12171
2019,2,76.83,1437
2019,1,77.02,914
2019,0,85.82,134
2020,91,100.0,1
2020,69,0.0,1
2020,68,100.0,1
2020,66,33.33,3
2020,65,100.0,1
2020,63,0.0,2
2020,62,0.0,2
2020,60,0.0,1
2020,59,40.0,5
2020,58,0.0,3
2020,56,0.0,2
2020,55,50.0,2
2020,54,0.0,2
2020,52,66.67,3
2020,50,0.0,1
2020,48,0.0,1
2020,45,0.0,2
2020,44,40.0,5
2020,43,100.0,1
2020,42,100.0,1
2020,41,100.0,2
2020,40,29.41,17
2020,39,35.71,42
2020,38,28.57,84
2020,37,45.52,134
2020,36,28.02,182
2020,35,36.53,167
2020,34,30.8,289
2020,33,33.46,269
2020,32,33.04,336
2020,31,26.65,319
2020,30,34.7,853
2020,29,33.1,574
2020,28,30.81,542
2020,27,32.03,590
2020,26,30.31,716
2020,25,29.24,985
2020,24,29.62,1384
2020,23,28.86,2197
2020,22,29.6,3361
2020,21,28.42,5451
2020,20,27.22,10521
2020,19,26.24,10871
2020,18,26.37,16413
2020,17,25.3,26405
2020,16,26.11,43467
2020,15,28.53,61506
2020,14,32.06,69998
2020,13,35.84,87296
2020,12,35.43,109867
2020,11,37.5,54396
2020,10,40.15,72388
2020,9,41.08,21232
2020,8,47.08,89413
2020,7,49.72,20319
2020,6,58.44,108404
2020,5,59.28,22333
2020,4,65.94,156137
2020,3,81.21,5741
2020,2,72.77,999
2020,1,77.14,665
2020,0,92.31,78
